1before,2after
start,（おかあさんといっしょ）あ・い・うー (指導入り)　体操
（おかあさんといっしょ）あ・い・うー (指導入り)　体操,（おジャ魔女どれみ）おジャ魔女カーニバル!!
（おジャ魔女どれみ）おジャ魔女カーニバル!!,（ロザリオとバンパイアCAPU2）DISCOTHEQUE
（ロザリオとバンパイアCAPU2）DISCOTHEQUE,（繰繰れ！コックリさん）Welcome！！DISCOけもけもけ
（繰繰れ！コックリさん）Welcome！！DISCOけもけもけ,（妖怪ウォッチ）祭り囃子でゲラゲラポー
（妖怪ウォッチ）祭り囃子でゲラゲラポー,（とっとこハム太郎）ハム太郎とっとこうた
（とっとこハム太郎）ハム太郎とっとこうた,（ちびまる子ちゃん）おどるポンポコリン
（ちびまる子ちゃん）おどるポンポコリン,（忍たま）勇気100%
（忍たま）勇気100%,（団地ともお）団地でDAN! RAN!
（団地ともお）団地でDAN! RAN!,（銀の匙 ）オトノナルホウヘ→
（銀の匙 ）オトノナルホウヘ→,（おじゃる丸）プリン賛歌
（おじゃる丸）プリン賛歌,（アリスSOS）S・O・S (ロングバージョン)
（アリスSOS）S・O・S (ロングバージョン),（キン肉マン）カンフー ファイター (ラーメンマンのテーマ)
（キン肉マン）カンフー ファイター (ラーメンマンのテーマ),（獣神ライガー）怒りの獣神
（獣神ライガー）怒りの獣神,（勇者王ガオガイガー）勇者王誕生!
（勇者王ガオガイガー）勇者王誕生!,（デジモンアドベンチャー）Butter-Fly
（デジモンアドベンチャー）Butter-Fly,（ONEPIECE）ウィーゴー!
（ONEPIECE）ウィーゴー!,（機動戦士Vガンダム）STAND UP TO THE VICTORY ～トゥ・ザ・ヴィクトリー～
（機動戦士Vガンダム）STAND UP TO THE VICTORY ～トゥ・ザ・ヴィクトリー～,（マクロス7）突撃ラブハート
（マクロス7）突撃ラブハート,（聖闘士星矢 ）ペガサス幻想 (ver. Ω)
（聖闘士星矢 ）ペガサス幻想 (ver. Ω),（ジョジョ）STAND PROUD
（ジョジョ）STAND PROUD,"（けいおん！）No,Thank You!"
"（けいおん！）No,Thank You!",（ログホライズン）database feat.TAKUMA（10-FEET）
（ログホライズン）database feat.TAKUMA（10-FEET）,（DEATH NOTE）絶望ビリー
（DEATH NOTE）絶望ビリー,（健全ロボ ダイミダラー）健全ロボ ダイミダラー
（健全ロボ ダイミダラー）健全ロボ ダイミダラー,（ピンポン）唯一人
（ピンポン）唯一人,（武装練金）真赤な誓い
（武装練金）真赤な誓い,（革命機ヴァルヴレイヴ）革命デュアリズム
（革命機ヴァルヴレイヴ）革命デュアリズム,（TIGER&BUNNY）オリオンをなぞる
（TIGER&BUNNY）オリオンをなぞる,（TIGER&BUNNY）リニアブルーを聴きながら
（TIGER&BUNNY）リニアブルーを聴きながら,（夜桜四重奏-ハナノウタ-）桜のあと(all quartets lead to the?)
（夜桜四重奏-ハナノウタ-）桜のあと(all quartets lead to the?),end
