1before|2after|3weight
start|（エヴァ）残酷な天使のテーゼ (Directors Edit Version)|1
（エヴァ）残酷な天使のテーゼ (Directors Edit Version)|（機動戦士ガンダム第08MS小隊）嵐の中で輝いて|1
（機動戦士ガンダム第08MS小隊）嵐の中で輝いて|（少女革命ウテナ）輪舞・revolution (オープニングテーマ)|1
（少女革命ウテナ）輪舞・revolution (オープニングテーマ)|（幽遊白書）微笑みの爆弾|1
（幽遊白書）微笑みの爆弾|（ポケモン）めざせポケモンマスター|1
（ポケモン）めざせポケモンマスター|（まもって守護月天！）さぁ|1
（まもって守護月天！）さぁ|（仙界伝封神演義）WILL|1
（仙界伝封神演義）WILL|（名探偵コナン）謎|1
（名探偵コナン）謎|（スラムダンク）マイフレンド [Slam Dunk ED4]|1
（スラムダンク）マイフレンド [Slam Dunk ED4]|（ふたつのスピカ）Venus Say・・・|1
（ふたつのスピカ）Venus Say・・・|（YAT安心!宇宙旅行）HEAVEN|1
（YAT安心!宇宙旅行）HEAVEN|（とっても!! ラッキーマン） ラッキーマンの歌|1
（とっても!! ラッキーマン） ラッキーマンの歌|（セイバーマリオネットJ）Successful Mission|1
（セイバーマリオネットJ）Successful Mission|（シャーマンキング）Northern lights|1
（シャーマンキング）Northern lights|（スレイヤーズNEXT）Give a reason|1
（スレイヤーズNEXT）Give a reason|（ちびまる子ちゃん）おどるポンポコリン|1
（ちびまる子ちゃん）おどるポンポコリン|（忍たま）勇気100%|1
（忍たま）勇気100%|（美少女戦士セーラームーンR）乙女のポリシー|1
（美少女戦士セーラームーンR）乙女のポリシー|（サクラ大戦）檄!帝国華撃団|1
（サクラ大戦）檄!帝国華撃団|（戦国乙女パラドックス）陽炎|1
（戦国乙女パラドックス）陽炎|（電脳冒険記ウェブダイバー）Diver#2100|1
（電脳冒険記ウェブダイバー）Diver#2100|（攻殻機動隊S.A.C 2nd GIG）rise|1
（攻殻機動隊S.A.C 2nd GIG）rise|（Black Lagoon）Red fraction|1
（Black Lagoon）Red fraction|（NO.6）Spell|1
（NO.6）Spell|（デュラララ!!）裏切りの夕焼け|1
